libuuid1/kali-rolling,now 2.30.2-0.1 amd64 [installed]
login/kali-rolling,now 1:4.5-1 amd64 [installed]
logrotate/kali-rolling,now 3.11.0-0.1 amd64 [installed]
lsb-base/kali-rolling,now 9.20170808 all [installed]
lsof/kali-rolling,now 4.89+dfsg-0.1 amd64 [installed]
mawk/kali-rolling,now 1.3.3-17+b3 amd64 [installed]
mime-support/kali-rolling,now 3.60 all [installed]
mlocate/kali-rolling,now 0.26-2 amd64 [installed]
mount/kali-rolling,now 2.30.2-0.1 amd64 [installed]
net-tools/kali-rolling,now 1.60+git20161116.90da8a0-1 amd64 [installed]
netbase/kali-rolling,now 5.4 all [installed]
netcat-traditional/kali-rolling,now 1.10-41.1 amd64 [installed]
nfacct/kali-rolling,now 1.0.2-1 amd64 [installed]
nfs-common/kali-rolling,now 1:1.3.4-2.1+b1 amd64 [installed]
openjdk-9-jre/kali-rolling,now 9.0.1+11-1 amd64 [installed]
openssh-client/kali-rolling,now 1:7.6p1-2 amd64 [installed]
osmo-sdr/kali-rolling,now 0.1.8.effcaa7-7+b1 amd64 [installed]
pass/kali-rolling,now 1.7.1-3 all [installed]
passwd/kali-rolling,now 1:4.5-1 amd64 [installed]
patch/kali-rolling,now 2.7.5-1+b2 amd64 [installed]
pciutils/kali-rolling,now 1:3.5.2-1 amd64 [installed]
powertop/kali-rolling,now 2.8-1+b1 amd64 [installed]
procmail/kali-rolling,now 3.22-26 amd64 [installed]
procps/kali-rolling,now 2:3.3.12-3 amd64 [installed]
pyqt4-dev-tools/kali-rolling,now 4.12.1+dfsg-2 amd64 [installed]
python-apt/kali-rolling,now 1.4.0~beta3+b1 amd64 [installed]
python-cairo-dev/kali-rolling,now 1.15.4-2 all [installed]
python-pip/kali-rolling,now 9.0.1-2 all [installed]
python-qt4/kali-rolling,now 4.12.1+dfsg-2 amd64 [installed]
python-qwt5-qt4/kali-rolling,now 5.2.1~cvs20091107+dfsg-8+b1 amd64 [installed]
python-scipy/kali-rolling,now 0.19.1-1 amd64 [installed]
python-sphinx/kali-rolling,now 1.6.5-2 all [installed]
python-zmq/kali-rolling,now 16.0.2-2+b1 amd64 [installed]
rdesktop/kali-rolling,now 1.8.3-2+b1 amd64 [installed]
readline-common/kali-rolling,now 7.0-3 all [installed]
reportbug/kali-rolling,now 7.1.7 all [installed]
sed/kali-rolling,now 4.4-1 amd64 [installed]
sensible-utils/kali-rolling,now 0.0.11 all [installed]
startpar/kali-rolling,now 0.59-4 amd64 [installed]
stow/kali-rolling,now 2.2.2-1 all [installed]
sublime-text/apt/stable,now 3143 amd64 [installed]
swig/kali-rolling,now 3.0.12-1 amd64 [installed]
sysv-rc/kali-rolling,now 2.88dsf-59.10 all [installed]
sysvinit-utils/kali-rolling,now 2.88dsf-59.10 amd64 [installed]
tar/kali-rolling,now 1.29b-2 amd64 [installed]
tasksel/kali-rolling,now 3.42 all [installed]
tasksel-data/kali-rolling,now 3.42 all [installed]
telnet/kali-rolling,now 0.17-41 amd64 [installed]
texlive-bibtex-extra/kali-rolling,now 2017.20171128-1 all [installed]
texmaker/kali-rolling,now 4.5-1 amd64 [installed]
time/kali-rolling,now 1.7-25.1+b1 amd64 [installed]
torbrowser-launcher/kali-rolling,now 0.2.8-5 amd64 [installed]
traceroute/kali-rolling,now 1:2.1.0-2 amd64 [installed]
transmission/kali-rolling,now 2.92-2 all [installed]
tzdata/kali-rolling,now 2017c-1 all [installed]
ucf/kali-rolling,now 3.0036 all [installed]
usbutils/kali-rolling,now 1:007-4+b1 amd64 [installed]
util-linux/kali-rolling,now 2.30.2-0.1 amd64 [installed]
wamerican/kali-rolling,now 2017.08.24-1 all [installed]
wget/kali-rolling,now 1.19.2-1 amd64 [installed]
whiptail/kali-rolling,now 0.52.20-1+b1 amd64 [installed]
wireless-tools/kali-rolling,now 30~pre9-12+b1 amd64 [installed]
wpasupplicant/kali-rolling,now 2:2.4-1.1 amd64 [installed]
xz-utils/kali-rolling,now 5.2.2-1.3 amd64 [installed]
zlib1g/kali-rolling,now 1:1.2.8.dfsg-5 amd64 [installed]
